Trace,IPC,L2_Accesses,L2_Misses,L2_MissRate(%)
600.perlbench_s-1273B,2.038,995,769,77.29
602.gcc_s-1850B,0.2398,123475,91269,73.92
603.bwaves_s-2931B,0.8693,117405,94765,80.72
605.mcf_s-1536B,0.2395,572903,414037,72.27
607.cactuBSSN_s-2421B,1.644,531916,136563,25.67
619.lbm_s-2676B,0.4439,714446,518717,72.60
620.omnetpp_s-141B,0.2336,206602,132068,63.92
621.wrf_s-575B,1.167,51,51,100.00
623.xalancbmk_s-165B,0.6563,95426,75150,78.75
625.x264_s-12B,2.113,5095,5094,99.98
627.cam4_s-490B,0.8321,126666,87987,69.46
628.pop2_s-17B,1.208,150216,49016,32.63
631.deepsjeng_s-928B,1.045,13737,4097,29.82
638.imagick_s-10316B,3.347,44588,204,0.46
641.leela_s-149B,1.011,30058,944,3.14
644.nab_s-12459B,1.373,33223,3160,9.51
648.exchange2_s-387B,1.152,ERR,ERR,ERR
649.fotonik3d_s-1176B,0.4615,110903,86870,78.33
654.roms_s-293B,1.077,96123,76239,79.31
657.xz_s-4994B,1.421,1682,662,39.36
